CWE-ID,Name,Type,Related Weakness,Parent,Vote,Clippy Helps?
348,Use of Less Trusted Source,Base,::NATURE:ChildOf:CWE ID:345:VIEW ID:1000:ORDINAL:Primary::,345,,
349,Acceptance of Extraneous Untrusted Data With Trusted Data,Base,::NATURE:ChildOf:CWE ID:345:VIEW ID:1000:ORDINAL:Primary::,345,,
351,Insufficient Type Distinction,Base,::NATURE:ChildOf:CWE ID:345:VIEW ID:1000:ORDINAL:Primary::NATURE:PeerOf:CWE ID:436:VIEW ID:1000::,345,,
353,Missing Support for Integrity Check,Base,::NATURE:ChildOf:CWE ID:345:VIEW ID:1000:ORDINAL:Primary::NATURE:PeerOf:CWE ID:354:VIEW ID:1000::,345,,
354,Improper Validation of Integrity Check Value,Base,::NATURE:ChildOf:CWE ID:345:VIEW ID:1000:ORDINAL:Primary::NATURE:ChildOf:CWE ID:345:VIEW ID:1003:ORDINAL:Primary::NATURE:ChildOf:CWE ID:754:VIEW ID:1000::NATURE:PeerOf:CWE ID:353:VIEW ID:1000::,345,,
356,Product UI does not Warn User of Unsafe Actions,Base,::NATURE:ChildOf:CWE ID:221:VIEW ID:1000:ORDINAL:Primary::,221,,
357,Insufficient UI Warning of Dangerous Operations,Base,::NATURE:ChildOf:CWE ID:693:VIEW ID:1000:ORDINAL:Primary::,693,,
358,Improperly Implemented Security Check for Standard,Base,::NATURE:ChildOf:CWE ID:573:VIEW ID:1000:ORDINAL:Primary::NATURE:ChildOf:CWE ID:693:VIEW ID:1000::NATURE:CanAlsoBe:CWE ID:345:VIEW ID:1000::NATURE:CanAlsoBe:CWE ID:290:VIEW ID:1000::,573,,
359,Exposure of Private Personal Information to an Unauthorized Actor,Base,::NATURE:ChildOf:CWE ID:200:VIEW ID:1000:ORDINAL:Primary::,200,,
360,Trust of System Event Data,Base,::NATURE:ChildOf:CWE ID:345:VIEW ID:1000:ORDINAL:Primary::,345,,
364,Signal Handler Race Condition,Base,::NATURE:ChildOf:CWE ID:362:VIEW ID:1000:ORDINAL:Primary::NATURE:CanPrecede:CWE ID:415:VIEW ID:1000::NATURE:CanPrecede:CWE ID:416:VIEW ID:1000::NATURE:CanPrecede:CWE ID:123:VIEW ID:1000::,362,,
366,Race Condition within a Thread,Base,::NATURE:ChildOf:CWE ID:362:VIEW ID:1000:ORDINAL:Primary::NATURE:ChildOf:CWE ID:662:VIEW ID:1305:ORDINAL:Primary::NATURE:ChildOf:CWE ID:662:VIEW ID:1340:ORDINAL:Primary::,362,,
367,Time-of-check Time-of-use (TOCTOU) Race Condition,Base,::NATURE:ChildOf:CWE ID:362:VIEW ID:1000:ORDINAL:Primary::NATURE:ChildOf:CWE ID:362:VIEW ID:1003:ORDINAL:Primary::,362,,
368,Context Switching Race Condition,Base,::NATURE:ChildOf:CWE ID:362:VIEW ID:1000:ORDINAL:Primary::NATURE:CanAlsoBe:CWE ID:364:VIEW ID:1000::,362,,
