github repo,cve vendor,cve product,cve ids
bitcoin/bitcoin,bitcoin,bitcoin,CVE-2017-9230 CVE-2021-31876 CVE-2021-3401
bitcoin/bitcoin,bitcoin,bitcoin,CVE-2017-9230 CVE-2021-31876 CVE-2021-3401
bitcoinknots/bitcoin,bitcoinknots,bitcoinknots,
bitlbee/bitlbee,bitlbee,bitlbee,CVE-2008-3920 CVE-2008-3969 CVE-2012-1187 CVE-2016-10188 CVE-2016-10189 CVE-2017-5668
Bitmessage/PyBitmessage,bitmessage,pybitmessage,CVE-2018-1000070 CVE-2021-26917
bittorrent/bootstrap-dht,bittorrent,bootstrap-dht,CVE-2014-8509 CVE-2015-5685
blockmason/credit-protocol,blockmason,credit-protocol,CVE-2018-25098
BlogEngine/BlogEngine.NET,blogengine,blogengine.net,CVE-2018-14485 CVE-2019-10720 CVE-2019-6714 CVE-2022-25591 CVE-2022-28921
Blosc/c-blosc2,blosc,c-blosc2,CVE-2020-29367
bludit/bludit,bludit,bludit,CVE-2017-16636 CVE-2018-1000811 CVE-2018-16313 CVE-2019-12548 CVE-2019-12742 CVE-2019-16113 CVE-2019-16334 CVE-2019-17240 CVE-2020-13889 CVE-2020-15006 CVE-2020-15026 CVE-2020-18190 CVE-2020-18879 CVE-2020-19228 CVE-2020-20210 CVE-2020-20495 CVE-2020-23765 CVE-2020-8811 CVE-2020-8812 CVE-2021-25808 CVE-2021-35323 CVE-2021-45744 CVE-2021-45745 CVE-2022-1590
blue-yonder/postgraas_server,blue-yonder,postgraas_server,CVE-2018-25088
bluez/bluez,bluez,bluez,CVE-2016-7837 CVE-2016-9797 CVE-2016-9798 CVE-2016-9799 CVE-2016-9800 CVE-2016-9801 CVE-2016-9802 CVE-2016-9803 CVE-2016-9804 CVE-2016-9917 CVE-2017-1000250 CVE-2018-10910 CVE-2019-8921 CVE-2019-8922 CVE-2020-0556 CVE-2020-12352 CVE-2020-24490 CVE-2020-27153 CVE-2021-0129 CVE-2021-3588 CVE-2021-3658 CVE-2021-41229 CVE-2021-43400 CVE-2022-0204
bolt/bolt,bolt,boltcms,
BookStackApp/BookStack,bookstackapp,bookstack,CVE-2017-1000462 CVE-2020-11055 CVE-2020-26210 CVE-2020-26211 CVE-2020-26260 CVE-2020-5256 CVE-2021-3758 CVE-2021-3767 CVE-2021-3768 CVE-2021-3874 CVE-2021-3906 CVE-2021-3915 CVE-2021-3916 CVE-2021-3944 CVE-2021-4026 CVE-2021-4119 CVE-2021-4194 CVE-2022-0877
borgbackup/borg,borgbackup,borg,CVE-2017-15914
bottlepy/bottle,bottlepy,bottle,CVE-2014-3137 CVE-2016-9964 CVE-2020-28473
bower/bower,bower,bower,CVE-2019-5484
boxbilling/boxbilling,boxbilling,boxbilling,CVE-2020-23647
bro/bro,bro,bro,CVE-2015-1521 CVE-2015-1522 CVE-2017-1000458 CVE-2018-16807 CVE-2018-17019
browserup/browserup-proxy,browserup,browserup-proxy,CVE-2020-26282
btcpayserver/btcpayserver,btcpayserver,btcpayserver,CVE-2021-29245 CVE-2021-29246 CVE-2021-29247 CVE-2021-29248 CVE-2021-29249 CVE-2021-29250 CVE-2021-29251 CVE-2021-3646 CVE-2021-3830
buddypress/buddypress,buddypress,buddypress,CVE-2012-2109 CVE-2014-1888 CVE-2014-1889 CVE-2017-6954 CVE-2020-5244 CVE-2021-21389
bytecodealliance/lucet,bytecodealliance,lucet,CVE-2021-43790
bytecodealliance/wasmtime,bytecodealliance,wasmtime,CVE-2021-39216 CVE-2021-39218 CVE-2021-39219 CVE-2022-23636 CVE-2022-24791
bywatersolutions/bywater-koha-xslt,bywatersolutions,bywater-koha-xslt,CVE-2015-10091
c-ares/c-ares,c-ares,c-ares,CVE-2016-5180 CVE-2017-1000381 CVE-2020-14354 CVE-2020-22217
C2FO/fast-csv,c2fo,fast-csv,CVE-2020-26256
Cacti/cacti,cacti,cacti,CVE-2007-6035 CVE-2008-0783 CVE-2008-0784 CVE-2008-0785 CVE-2008-0786 CVE-2009-4032 CVE-2009-4112 CVE-2010-1431 CVE-2010-1644 CVE-2010-1645 CVE-2010-2092 CVE-2010-2543 CVE-2010-2544 CVE-2010-2545 CVE-2011-4824 CVE-2011-5223 CVE-2013-1434 CVE-2013-1435 CVE-2013-5588 CVE-2013-5589 CVE-2014-2326 CVE-2014-2327 CVE-2014-2328 CVE-2014-2708 CVE-2014-2709 CVE-2014-4000 CVE-2014-4002 CVE-2014-5025 CVE-2014-5026 CVE-2014-5261 CVE-2014-5262 CVE-2015-0916 CVE-2015-2665 CVE-2015-2967 CVE-2015-4342 CVE-2015-4454 CVE-2015-4634 CVE-2015-8369 CVE-2015-8377 CVE-2015-8604 CVE-2016-10700 CVE-2016-2313 CVE-2016-3172 CVE-2016-3659 CVE-2017-1000031 CVE-2017-1000032 CVE-2017-10970 CVE-2017-11163 CVE-2017-11691 CVE-2017-12065 CVE-2017-12066 CVE-2017-12927 CVE-2017-12978 CVE-2017-15194 CVE-2017-16641 CVE-2017-16660 CVE-2017-16661 CVE-2017-16785 CVE-2018-10059 CVE-2018-10060 CVE-2018-10061 CVE-2018-20723 CVE-2018-20724 CVE-2018-20725 CVE-2018-20726 CVE-2019-11025 CVE-2019-16723 CVE-2019-17357 CVE-2019-17358 CVE-2020-13230 CVE-2020-13231 CVE-2020-14295 CVE-2020-14424 CVE-2020-23226 CVE-2020-25706 CVE-2020-35701 CVE-2020-7058 CVE-2020-7106 CVE-2020-7237 CVE-2020-8813 CVE-2021-23225 CVE-2021-26247 CVE-2021-3816 CVE-2022-0730
cakephp/cakephp,cakephp,cakephp,CVE-2006-4067 CVE-2006-5031 CVE-2010-4335 CVE-2011-3712 CVE-2015-8379 CVE-2016-4793 CVE-2019-11458 CVE-2020-35239
camptocamp/terraboard,camptocamp,terraboard,CVE-2022-1883
