github repo,cve vendor,cve product,cve ids
omeka/Omeka,omeka,omeka,CVE-2014-5100 CVE-2018-13423 CVE-2021-26799
omniauth/omniauth,omniauth,omniauth,CVE-2015-9284 CVE-2017-18076 CVE-2020-36599
ONLYOFFICE/core,onlyoffice,core,CVE-2022-29776 CVE-2022-29777
ONLYOFFICE/DocumentServer,onlyoffice,documentserver,CVE-2020-11534 CVE-2020-11535 CVE-2020-11536 CVE-2020-11537 CVE-2021-25829 CVE-2021-25830 CVE-2021-25831 CVE-2021-25832 CVE-2021-25833 CVE-2021-3199 CVE-2022-24229 CVE-2022-29776 CVE-2022-29777
OP-TEE/optee_os,op-tee,optee_os,CVE-2016-6129
OPCFoundation/UA-.NET-Legacy,opcfoundation,ua-.net-legacy,CVE-2017-12070 CVE-2018-12087 CVE-2018-12585 CVE-2018-7559 CVE-2021-27432
OPCFoundation/UA-.NETStandard,opcfoundation,ua-.netstandard,CVE-2018-12087 CVE-2018-7559 CVE-2019-19135 CVE-2020-29457
open-zaak/open-zaak,open-zaak,open-zaak,CVE-2020-26251
open5gs/open5gs,open5gs,open5gs,CVE-2021-25863 CVE-2021-28122 CVE-2021-41794 CVE-2021-44081 CVE-2021-44108 CVE-2021-44109 CVE-2021-45462
open62541/open62541,open62541,open62541,CVE-2020-36429 CVE-2022-25761
openacs/bug-tracker,openacs,bug-tracker,CVE-2016-15009
opencart/opencart,opencart,opencart,CVE-2009-1027 CVE-2009-1621 CVE-2010-0956 CVE-2010-1610 CVE-2011-3763 CVE-2013-1891 CVE-2014-3990 CVE-2015-4671 CVE-2016-10509 CVE-2018-11494 CVE-2018-11495 CVE-2018-13067 CVE-2019-15081 CVE-2020-10596 CVE-2020-13980 CVE-2020-20491 CVE-2020-28838 CVE-2020-29470 CVE-2020-29471 CVE-2021-37823
opencast/opencast,opencast,opencast,CVE-2017-1000217
opencats/OpenCATS,opencats,opencats,CVE-2019-13358 CVE-2021-25294 CVE-2021-25295 CVE-2021-41560
OpenClinica/OpenClinica,openclinica,openclinica,CVE-2022-24830 CVE-2022-24831
opencrx/opencrx,opencrx,opencrx,CVE-2020-7378 CVE-2021-25959
opencv/opencv,opencv,opencv,CVE-2016-1516 CVE-2016-1517 CVE-2017-1000450 CVE-2017-12597 CVE-2017-12598 CVE-2017-12599 CVE-2017-12600 CVE-2017-12601 CVE-2017-12602 CVE-2017-12603 CVE-2017-12604 CVE-2017-12605 CVE-2017-12606 CVE-2017-12862 CVE-2017-12863 CVE-2017-12864 CVE-2017-14136 CVE-2017-17760 CVE-2017-18009 CVE-2018-5268 CVE-2018-5269 CVE-2018-7712 CVE-2018-7713 CVE-2018-7714 CVE-2019-14491 CVE-2019-14492 CVE-2019-14493 CVE-2019-15939 CVE-2019-16249 CVE-2019-19624 CVE-2019-5063 CVE-2019-5064
opencv/opencv,opencv,opencv,CVE-2016-1516 CVE-2016-1517 CVE-2017-1000450 CVE-2017-12597 CVE-2017-12598 CVE-2017-12599 CVE-2017-12600 CVE-2017-12601 CVE-2017-12602 CVE-2017-12603 CVE-2017-12604 CVE-2017-12605 CVE-2017-12606 CVE-2017-12862 CVE-2017-12863 CVE-2017-12864 CVE-2017-14136 CVE-2017-17760 CVE-2017-18009 CVE-2018-5268 CVE-2018-5269 CVE-2018-7712 CVE-2018-7713 CVE-2018-7714 CVE-2019-14491 CVE-2019-14492 CVE-2019-14493 CVE-2019-15939 CVE-2019-16249 CVE-2019-19624 CVE-2019-5063 CVE-2019-5064
opendocman/opendocman,opendocman,opendocman,CVE-2006-5655 CVE-2008-2787 CVE-2008-2788 CVE-2009-3788 CVE-2009-3789 CVE-2009-3801 CVE-2011-3764 CVE-2014-1945 CVE-2014-1946 CVE-2014-2317 CVE-2014-4853 CVE-2015-5625 CVE-2021-45834
openemr/openemr,openemr,openemr,CVE-2006-2929 CVE-2006-5795 CVE-2006-5811 CVE-2007-0649 CVE-2011-5160 CVE-2011-5161 CVE-2012-0991 CVE-2012-0992 CVE-2012-2115 CVE-2013-4619 CVE-2013-4620 CVE-2014-5462 CVE-2015-4453 CVE-2017-1000240 CVE-2017-1000241 CVE-2017-12064 CVE-2017-16540 CVE-2017-6394 CVE-2017-9380 CVE-2018-1000019 CVE-2018-1000020 CVE-2018-1000218 CVE-2018-1000219 CVE-2018-10571 CVE-2018-10572 CVE-2018-10573 CVE-2018-15139 CVE-2018-15140 CVE-2018-15141 CVE-2018-15142 CVE-2018-15143 CVE-2018-15144 CVE-2018-15145 CVE-2018-15146 CVE-2018-15147 CVE-2018-15148 CVE-2018-15149 CVE-2018-15150 CVE-2018-15151 CVE-2018-15152 CVE-2018-15153 CVE-2018-15154 CVE-2018-15155 CVE-2018-15156 CVE-2018-16795 CVE-2018-17179 CVE-2018-17180 CVE-2018-17181 CVE-2018-18035 CVE-2018-9250 CVE-2019-14529 CVE-2019-14530 CVE-2019-16404 CVE-2019-16862 CVE-2019-17179 CVE-2019-17197 CVE-2019-17409 CVE-2019-3963 CVE-2019-3964 CVE-2019-3965 CVE-2019-3966 CVE-2019-3967 CVE-2019-3968 CVE-2019-8368 CVE-2019-8371 CVE-2020-13562 CVE-2020-13563 CVE-2020-13564 CVE-2020-13565 CVE-2020-13566 CVE-2020-13567 CVE-2020-13568 CVE-2020-13569 CVE-2020-19364 CVE-2020-29139 CVE-2020-29140 CVE-2020-29142 CVE-2020-29143 CVE-2020-36243 CVE-2021-25917 CVE-2021-25918 CVE-2021-25919 CVE-2021-25920 CVE-2021-25921 CVE-2021-25922 CVE-2021-25923 CVE-2021-32101 CVE-2021-32102 CVE-2021-32103 CVE-2021-32104 CVE-2021-40352 CVE-2021-41843 CVE-2022-1177 CVE-2022-1178 CVE-2022-1179 CVE-2022-1180 CVE-2022-1181 CVE-2022-1458 CVE-2022-1459 CVE-2022-1461 CVE-2022-24643 CVE-2022-2493 CVE-2022-2494 CVE-2022-25041 CVE-2022-25471 CVE-2022-2729 CVE-2022-2730 CVE-2022-2731 CVE-2022-2732 CVE-2022-2733 CVE-2022-2734 CVE-2022-2824
openenclave/openenclave,openenclave,openenclave,CVE-2020-15107 CVE-2020-15224
openfga/openfga,openfga,openfga,CVE-2022-23542
openid/ruby-openid,openid,ruby-openid,CVE-2019-11027
OpenIDC/mod_auth_openidc,openidc,mod_auth_openidc,CVE-2017-6059 CVE-2017-6062 CVE-2017-6413 CVE-2019-1010247 CVE-2019-14857 CVE-2019-20479 CVE-2021-20718 CVE-2021-32785 CVE-2021-32786 CVE-2021-32791 CVE-2021-32792 CVE-2021-39191 CVE-2022-23527
openmediavault/openmediavault,openmediavault,openmediavault,CVE-2013-3632 CVE-2017-1000065 CVE-2020-26124
OpenMPT/openmpt,openmpt,openmpt,CVE-2017-11311 CVE-2018-10017 CVE-2018-6611
openmrs/openmrs-module-htmlformentry,openmrs,openmrs-module-htmlformentry,CVE-2017-12795
openmrs/openmrs-module-reporting,openmrs,openmrs-module-reporting,CVE-2017-7990
OpenNMS/opennms,opennms,opennms,CVE-2008-6095 CVE-2014-3960 CVE-2015-7856 CVE-2016-6555 CVE-2016-6556 CVE-2020-1652 CVE-2021-25932
openpgpjs/openpgpjs,openpgpjs,openpgpjs,CVE-2015-8013 CVE-2019-9153 CVE-2019-9154 CVE-2019-9155
OpenPrinting/cups,openprinting,cups,CVE-2022-26691
OpenRefine/OpenRefine,openrefine,openrefine,CVE-2018-19859 CVE-2018-20157 CVE-2019-3580
openresty/lua-nginx-module,openresty,lua-nginx-module,CVE-2020-36309
openresty/openresty,openresty,openresty,CVE-2018-9230 CVE-2020-11724 CVE-2021-23017
openrisc/or1200,openrisc,or1200,CVE-2021-40506 CVE-2021-40507
openscad/openscad,openscad,openscad,CVE-2020-28599 CVE-2020-28600 CVE-2022-0496 CVE-2022-0497
OpenSeaMap/online_chart,openseamap,online_chart,CVE-2015-10074
OpenSIPS/opensips,opensips,opensips,CVE-2013-3722
OpenSlides/OpenSlides,openslides,openslides,CVE-2020-26280
OpenSMTPD/OpenSMTPD,opensmtpd,opensmtpd,CVE-2020-35679 CVE-2020-35680 CVE-2020-8793 CVE-2020-8794
openssl/openssl,openssl,openssl,CVE-1999-0428 CVE-2000-0535 CVE-2000-1254 CVE-2001-1141 CVE-2002-0655 CVE-2002-0656 CVE-2002-0657 CVE-2002-0659 CVE-2002-1568 CVE-2003-0078 CVE-2003-0131 CVE-2003-0147 CVE-2003-0543 CVE-2003-0544 CVE-2003-0545 CVE-2003-0851 CVE-2004-0079 CVE-2004-0081 CVE-2004-0112 CVE-2004-0975 CVE-2005-1797 CVE-2005-2946 CVE-2005-2969 CVE-2006-2937 CVE-2006-2940 CVE-2006-3738 CVE-2006-4339 CVE-2006-4343 CVE-2006-7250 CVE-2007-3108 CVE-2007-4995 CVE-2007-5135 CVE-2008-0166 CVE-2008-0891 CVE-2008-1672 CVE-2008-1678 CVE-2008-5077 CVE-2008-7270 CVE-2009-0590 CVE-2009-0591 CVE-2009-0653 CVE-2009-0789 CVE-2009-1377 CVE-2009-1378 CVE-2009-1379 CVE-2009-1386 CVE-2009-1387 CVE-2009-1390 CVE-2009-2409 CVE-2009-3245 CVE-2009-3555 CVE-2009-3765 CVE-2009-3766 CVE-2009-3767 CVE-2009-4355 CVE-2010-0433 CVE-2010-0740 CVE-2010-0742 CVE-2010-0928 CVE-2010-1633 CVE-2010-2939 CVE-2010-3864 CVE-2010-4180 CVE-2010-4252 CVE-2010-5298 CVE-2011-0014 CVE-2011-1473 CVE-2011-1945 CVE-2011-3207 CVE-2011-3210 CVE-2011-4108 CVE-2011-4109 CVE-2011-4354 CVE-2011-4576 CVE-2011-4577 CVE-2011-4619 CVE-2011-5095 CVE-2012-0027 CVE-2012-0050 CVE-2012-0884 CVE-2012-1165 CVE-2012-2110 CVE-2012-2131 CVE-2012-2333 CVE-2012-2686 CVE-2013-0166 CVE-2013-0169 CVE-2013-4353 CVE-2013-6449 CVE-2013-6450 CVE-2014-0076 CVE-2014-0160 CVE-2014-0195 CVE-2014-0198 CVE-2014-0221 CVE-2014-0224 CVE-2014-3470 CVE-2014-3505 CVE-2014-3506 CVE-2014-3507 CVE-2014-3508 CVE-2014-3509 CVE-2014-3510 CVE-2014-3511 CVE-2014-3512 CVE-2014-3513 CVE-2014-3566 CVE-2014-3567 CVE-2014-3568 CVE-2014-3569 CVE-2014-3570 CVE-2014-3571 CVE-2014-3572 CVE-2014-5139 CVE-2014-8176 CVE-2014-8275 CVE-2015-0204 CVE-2015-0205 CVE-2015-0206 CVE-2015-0207 CVE-2015-0208 CVE-2015-0209 CVE-2015-0285 CVE-2015-0286 CVE-2015-0287 CVE-2015-0288 CVE-2015-0289 CVE-2015-0290 CVE-2015-0291 CVE-2015-0292 CVE-2015-0293 CVE-2015-1787 CVE-2015-1788 CVE-2015-1789 CVE-2015-1790 CVE-2015-1791 CVE-2015-1792 CVE-2015-1793 CVE-2015-1794 CVE-2015-3193 CVE-2015-3194 CVE-2015-3195 CVE-2015-3196 CVE-2015-3197 CVE-2015-3216 CVE-2015-4000 CVE-2016-0701 CVE-2016-0702 CVE-2016-0703 CVE-2016-0704 CVE-2016-0705 CVE-2016-0797 CVE-2016-0798 CVE-2016-0799 CVE-2016-0800 CVE-2016-2105 CVE-2016-2106 CVE-2016-2107 CVE-2016-2108 CVE-2016-2109 CVE-2016-2176 CVE-2016-2177 CVE-2016-2178 CVE-2016-2179 CVE-2016-2180 CVE-2016-2181 CVE-2016-2182 CVE-2016-2183 CVE-2016-2842 CVE-2016-6302 CVE-2016-6303 CVE-2016-6304 CVE-2016-6305 CVE-2016-6306 CVE-2016-6307 CVE-2016-6308 CVE-2016-6309 CVE-2016-7052 CVE-2016-7053 CVE-2016-7054 CVE-2016-7055 CVE-2016-7056 CVE-2016-8610 CVE-2017-3730 CVE-2017-3731 CVE-2017-3732 CVE-2017-3733 CVE-2017-3735 CVE-2017-3736 CVE-2017-3737 CVE-2017-3738 CVE-2018-0732 CVE-2018-0733 CVE-2018-0734 CVE-2018-0735 CVE-2018-0737 CVE-2018-0739 CVE-2018-5407 CVE-2019-0190 CVE-2019-1543 CVE-2019-1547 CVE-2019-1549 CVE-2019-1551 CVE-2019-1552 CVE-2019-1559 CVE-2019-1563 CVE-2020-1967 CVE-2020-1968 CVE-2020-1971 CVE-2020-7041 CVE-2020-7042 CVE-2020-7043 CVE-2021-23839 CVE-2021-23840 CVE-2021-23841 CVE-2021-3449 CVE-2021-3450 CVE-2021-3711 CVE-2021-3712 CVE-2021-4044 CVE-2021-4160 CVE-2022-0778 CVE-2022-1292 CVE-2022-1343 CVE-2022-1434 CVE-2022-1473 CVE-2022-2068 CVE-2022-2097 CVE-2022-2274
openssl/openssl,openssl,openssl,CVE-1999-0428 CVE-2000-0535 CVE-2000-1254 CVE-2001-1141 CVE-2002-0655 CVE-2002-0656 CVE-2002-0657 CVE-2002-0659 CVE-2002-1568 CVE-2003-0078 CVE-2003-0131 CVE-2003-0147 CVE-2003-0543 CVE-2003-0544 CVE-2003-0545 CVE-2003-0851 CVE-2004-0079 CVE-2004-0081 CVE-2004-0112 CVE-2004-0975 CVE-2005-1797 CVE-2005-2946 CVE-2005-2969 CVE-2006-2937 CVE-2006-2940 CVE-2006-3738 CVE-2006-4339 CVE-2006-4343 CVE-2006-7250 CVE-2007-3108 CVE-2007-4995 CVE-2007-5135 CVE-2008-0166 CVE-2008-0891 CVE-2008-1672 CVE-2008-1678 CVE-2008-5077 CVE-2008-7270 CVE-2009-0590 CVE-2009-0591 CVE-2009-0653 CVE-2009-0789 CVE-2009-1377 CVE-2009-1378 CVE-2009-1379 CVE-2009-1386 CVE-2009-1387 CVE-2009-1390 CVE-2009-2409 CVE-2009-3245 CVE-2009-3555 CVE-2009-3765 CVE-2009-3766 CVE-2009-3767 CVE-2009-4355 CVE-2010-0433 CVE-2010-0740 CVE-2010-0742 CVE-2010-0928 CVE-2010-1633 CVE-2010-2939 CVE-2010-3864 CVE-2010-4180 CVE-2010-4252 CVE-2010-5298 CVE-2011-0014 CVE-2011-1473 CVE-2011-1945 CVE-2011-3207 CVE-2011-3210 CVE-2011-4108 CVE-2011-4109 CVE-2011-4354 CVE-2011-4576 CVE-2011-4577 CVE-2011-4619 CVE-2011-5095 CVE-2012-0027 CVE-2012-0050 CVE-2012-0884 CVE-2012-1165 CVE-2012-2110 CVE-2012-2131 CVE-2012-2333 CVE-2012-2686 CVE-2013-0166 CVE-2013-0169 CVE-2013-4353 CVE-2013-6449 CVE-2013-6450 CVE-2014-0076 CVE-2014-0160 CVE-2014-0195 CVE-2014-0198 CVE-2014-0221 CVE-2014-0224 CVE-2014-3470 CVE-2014-3505 CVE-2014-3506 CVE-2014-3507 CVE-2014-3508 CVE-2014-3509 CVE-2014-3510 CVE-2014-3511 CVE-2014-3512 CVE-2014-3513 CVE-2014-3566 CVE-2014-3567 CVE-2014-3568 CVE-2014-3569 CVE-2014-3570 CVE-2014-3571 CVE-2014-3572 CVE-2014-5139 CVE-2014-8176 CVE-2014-8275 CVE-2015-0204 CVE-2015-0205 CVE-2015-0206 CVE-2015-0207 CVE-2015-0208 CVE-2015-0209 CVE-2015-0285 CVE-2015-0286 CVE-2015-0287 CVE-2015-0288 CVE-2015-0289 CVE-2015-0290 CVE-2015-0291 CVE-2015-0292 CVE-2015-0293 CVE-2015-1787 CVE-2015-1788 CVE-2015-1789 CVE-2015-1790 CVE-2015-1791 CVE-2015-1792 CVE-2015-1793 CVE-2015-1794 CVE-2015-3193 CVE-2015-3194 CVE-2015-3195 CVE-2015-3196 CVE-2015-3197 CVE-2015-3216 CVE-2015-4000 CVE-2016-0701 CVE-2016-0702 CVE-2016-0703 CVE-2016-0704 CVE-2016-0705 CVE-2016-0797 CVE-2016-0798 CVE-2016-0799 CVE-2016-0800 CVE-2016-2105 CVE-2016-2106 CVE-2016-2107 CVE-2016-2108 CVE-2016-2109 CVE-2016-2176 CVE-2016-2177 CVE-2016-2178 CVE-2016-2179 CVE-2016-2180 CVE-2016-2181 CVE-2016-2182 CVE-2016-2183 CVE-2016-2842 CVE-2016-6302 CVE-2016-6303 CVE-2016-6304 CVE-2016-6305 CVE-2016-6306 CVE-2016-6307 CVE-2016-6308 CVE-2016-6309 CVE-2016-7052 CVE-2016-7053 CVE-2016-7054 CVE-2016-7055 CVE-2016-7056 CVE-2016-8610 CVE-2017-3730 CVE-2017-3731 CVE-2017-3732 CVE-2017-3733 CVE-2017-3735 CVE-2017-3736 CVE-2017-3737 CVE-2017-3738 CVE-2018-0732 CVE-2018-0733 CVE-2018-0734 CVE-2018-0735 CVE-2018-0737 CVE-2018-0739 CVE-2018-5407 CVE-2019-0190 CVE-2019-1543 CVE-2019-1547 CVE-2019-1549 CVE-2019-1551 CVE-2019-1552 CVE-2019-1559 CVE-2019-1563 CVE-2020-1967 CVE-2020-1968 CVE-2020-1971 CVE-2020-7041 CVE-2020-7042 CVE-2020-7043 CVE-2021-23839 CVE-2021-23840 CVE-2021-23841 CVE-2021-3449 CVE-2021-3450 CVE-2021-3711 CVE-2021-3712 CVE-2021-4044 CVE-2021-4160 CVE-2022-0778 CVE-2022-1292 CVE-2022-1343 CVE-2022-1434 CVE-2022-1473 CVE-2022-2068 CVE-2022-2097 CVE-2022-2274
openstack/glance,openstack,glance,CVE-2013-1840 CVE-2013-4428 CVE-2015-3289 CVE-2015-5162 CVE-2015-5163 CVE-2015-8234 CVE-2016-8611 CVE-2017-7200
openstack/heat,openstack,heat,CVE-2013-6426 CVE-2013-6428 CVE-2014-3801 CVE-2016-9185 CVE-2017-2621
openstack/heat-templates,openstack,tripleoheattemplates,
openstack/horizon,openstack,horizon,CVE-2012-2094 CVE-2012-2144 CVE-2012-3426 CVE-2012-3540 CVE-2012-3542 CVE-2012-5474 CVE-2012-5476 CVE-2013-4471 CVE-2013-6858 CVE-2014-0157 CVE-2014-3473 CVE-2014-3474 CVE-2014-3475 CVE-2014-3594 CVE-2014-8124 CVE-2014-8578 CVE-2015-3219 CVE-2015-3988 CVE-2016-4428 CVE-2017-7400 CVE-2020-29565
openstack/keystone,openstack,keystone,CVE-2012-1572 CVE-2012-3426 CVE-2012-4413 CVE-2012-4456 CVE-2012-4457 CVE-2012-5483 CVE-2013-0247 CVE-2013-0270 CVE-2013-0282 CVE-2013-2006 CVE-2013-2014 CVE-2013-2059 CVE-2013-2157 CVE-2013-2255 CVE-2013-4222 CVE-2013-4294 CVE-2013-6391 CVE-2014-0204 CVE-2014-2237 CVE-2014-2828 CVE-2014-3476 CVE-2014-3520 CVE-2014-3621 CVE-2014-5251 CVE-2014-5252 CVE-2014-5253 CVE-2015-3646 CVE-2015-7546 CVE-2018-14432 CVE-2018-20170 CVE-2019-19687 CVE-2020-12689 CVE-2020-12690 CVE-2020-12691 CVE-2020-12692 CVE-2021-3563 CVE-2021-38155 CVE-2022-2447
openstack/nova,openstack,nova,CVE-2011-3147 CVE-2011-4076 CVE-2011-4596 CVE-2012-0030 CVE-2012-1585 CVE-2012-2101 CVE-2012-3447 CVE-2013-0326 CVE-2013-2256 CVE-2013-6437 CVE-2013-7048 CVE-2014-3517 CVE-2014-3608 CVE-2014-3708 CVE-2014-7230 CVE-2014-7231 CVE-2014-8333 CVE-2014-8750 CVE-2015-0259 CVE-2015-3241 CVE-2015-3280 CVE-2015-5162 CVE-2015-7548 CVE-2015-7713 CVE-2015-8749 CVE-2015-9543 CVE-2016-2140 CVE-2017-16239 CVE-2017-17051 CVE-2017-18191 CVE-2017-7214 CVE-2019-14433 CVE-2020-17376 CVE-2021-3654
openstack/swift,openstack,swift,CVE-2012-4406 CVE-2013-1840 CVE-2013-4155 CVE-2013-6396 CVE-2014-0006 CVE-2014-3497 CVE-2014-7960 CVE-2015-1856 CVE-2015-5223 CVE-2016-0737 CVE-2016-0738 CVE-2017-16613 CVE-2017-8761
openSUSE/libsolv,opensuse,libsolv,CVE-2018-20532 CVE-2018-20533 CVE-2018-20534 CVE-2019-20387 CVE-2021-3200 CVE-2021-33928 CVE-2021-33929 CVE-2021-33930 CVE-2021-33938 CVE-2021-44568
openSUSE/open-build-service,opensuse,open-build-service,CVE-2011-3178 CVE-2011-4181 CVE-2011-4183 CVE-2013-3703 CVE-2014-0593 CVE-2014-0594 CVE-2015-0796 CVE-2017-5188 CVE-2017-9268 CVE-2018-12466 CVE-2018-12467 CVE-2018-12473 CVE-2018-12475 CVE-2018-12478 CVE-2018-12479 CVE-2018-7688 CVE-2018-7689 CVE-2019-3685 CVE-2020-8020 CVE-2020-8021 CVE-2020-8031 CVE-2021-36777 CVE-2022-21949
openthread/wpantund,openthread,wpantund,CVE-2020-8916 CVE-2021-33889
OpenTSDB/opentsdb,opentsdb,opentsdb,CVE-2018-12972 CVE-2018-12973 CVE-2018-13003 CVE-2020-35476
OpenVPN/openvpn,openvpn,openvpn,CVE-2005-2531 CVE-2005-2532 CVE-2005-2533 CVE-2005-2534 CVE-2005-3393 CVE-2005-3409 CVE-2006-1629 CVE-2006-2229 CVE-2008-3459 CVE-2013-2061 CVE-2014-5455 CVE-2014-8104 CVE-2016-6329 CVE-2017-12166 CVE-2017-7478 CVE-2017-7479 CVE-2017-7508 CVE-2017-7520 CVE-2017-7521 CVE-2017-7522 CVE-2018-7544 CVE-2018-9336 CVE-2020-11810 CVE-2020-15078 CVE-2020-20813 CVE-2021-3547 CVE-2021-3606 CVE-2022-0547
openwhyd/openwhyd,openwhyd,openwhyd,CVE-2021-3829 CVE-2021-3837
openwrt/luci,openwrt,luci,CVE-2019-12272 CVE-2020-10871 CVE-2021-27821
openwrt/openwrt,openwrt,openwrt,CVE-2018-11116 CVE-2018-19630 CVE-2019-17367 CVE-2019-18992 CVE-2019-18993 CVE-2019-19945 CVE-2019-25015 CVE-2019-5101 CVE-2019-5102 CVE-2020-28951 CVE-2020-7248 CVE-2020-7982 CVE-2021-22161 CVE-2021-28961 CVE-2021-32019 CVE-2021-33425 CVE-2021-45904 CVE-2021-45905 CVE-2021-45906
openzfs/zfs,openzfs,openzfs,
Opmantek/open-audit,opmantek,open-audit,CVE-2018-10314 CVE-2018-11124 CVE-2018-14493 CVE-2018-16607 CVE-2019-16293 CVE-2020-11941 CVE-2020-11942 CVE-2020-11943 CVE-2020-12078 CVE-2020-12261 CVE-2020-8813 CVE-2021-3130 CVE-2021-3333 CVE-2021-40612 CVE-2021-44674 CVE-2021-44916
oppia/oppia,oppia,oppia,CVE-2021-41733
oroinc/platform,oroinc,oroplatform,
Ortus-Solutions/coldbox-elixir,ortus-solutions,coldbox-elixir,CVE-2021-4430
ory/fosite,ory,fosite,CVE-2020-15222 CVE-2020-15223 CVE-2020-15233 CVE-2020-15234
ory/hydra,ory,hydra,CVE-2019-8400 CVE-2020-5300
ory/oathkeeper,ory,oathkeeper,CVE-2021-32701
Oryx-Embedded/CycloneTCP,oryx-embedded,cyclonetcp,CVE-2020-27631 CVE-2021-26788
osclass/Osclass,osclass,osclass,CVE-2012-0973 CVE-2012-5162 CVE-2012-5163 CVE-2014-6280 CVE-2014-6308 CVE-2014-8083 CVE-2014-8084 CVE-2014-8085 CVE-2016-10751 CVE-2018-14481
OSGeo/gdal,osgeo,gdal,CVE-2019-17545 CVE-2019-17546 CVE-2019-25050 CVE-2021-45943
OSGeo/shapelib,osgeo,shapelib,CVE-2022-0699
osTicket/osTicket,osticket,osticket,CVE-2005-1436 CVE-2005-1437 CVE-2005-1438 CVE-2005-1439 CVE-2006-5407 CVE-2009-2361 CVE-2010-0605 CVE-2010-0606 CVE-2010-4634 CVE-2014-4744 CVE-2015-1176 CVE-2015-1347 CVE-2017-14396 CVE-2017-15362 CVE-2017-15580 CVE-2018-7192 CVE-2018-7193 CVE-2018-7194 CVE-2018-7195 CVE-2018-7196 CVE-2019-11537 CVE-2019-14748 CVE-2019-14749 CVE-2019-14750 CVE-2020-16193 CVE-2020-24881 CVE-2020-24917
OTRS/FAQ,otrs,faq,CVE-2013-2625 CVE-2013-2637 CVE-2016-5843 CVE-2021-21438
OTRS/otrs,otrs,otrs,CVE-2005-3893 CVE-2005-3894 CVE-2005-3895 CVE-2007-2524 CVE-2008-1515 CVE-2008-7275 CVE-2008-7276 CVE-2008-7277 CVE-2008-7278 CVE-2008-7279 CVE-2008-7280 CVE-2008-7281 CVE-2008-7282 CVE-2008-7283 CVE-2009-5055 CVE-2009-5056 CVE-2009-5057 CVE-2010-0438 CVE-2010-2080 CVE-2010-3476 CVE-2010-4071 CVE-2010-4758 CVE-2010-4759 CVE-2010-4760 CVE-2010-4761 CVE-2010-4762 CVE-2010-4763 CVE-2010-4764 CVE-2010-4765 CVE-2010-4766 CVE-2010-4767 CVE-2010-4768 CVE-2011-0456 CVE-2011-1433 CVE-2011-1518 CVE-2011-2385 CVE-2011-2746 CVE-2012-2582 CVE-2012-4600 CVE-2012-4751 CVE-2013-3551 CVE-2013-4088 CVE-2013-4717 CVE-2013-4718 CVE-2014-1471 CVE-2014-1694 CVE-2014-1695 CVE-2014-2553 CVE-2014-2554 CVE-2016-9139 CVE-2017-14635 CVE-2017-15864 CVE-2017-16664 CVE-2017-16854 CVE-2017-16921 CVE-2017-17476 CVE-2017-9299 CVE-2017-9324 CVE-2018-10198 CVE-2018-11563 CVE-2018-17883 CVE-2018-20800 CVE-2018-7567 CVE-2019-10065 CVE-2019-10066 CVE-2019-10067 CVE-2019-12248 CVE-2019-12497 CVE-2019-12746 CVE-2019-13457 CVE-2019-13458 CVE-2019-16375 CVE-2019-18179 CVE-2019-18180 CVE-2019-9751 CVE-2019-9752 CVE-2019-9753 CVE-2019-9892 CVE-2020-1765 CVE-2020-1766 CVE-2020-1767 CVE-2020-1768 CVE-2020-1769 CVE-2020-1770 CVE-2020-1771 CVE-2020-1772 CVE-2020-1773 CVE-2020-1774 CVE-2020-1775 CVE-2020-1776 CVE-2020-1777 CVE-2020-1778 CVE-2021-21435 CVE-2021-21438 CVE-2021-21439 CVE-2021-21440 CVE-2021-21441 CVE-2021-21443 CVE-2021-36091 CVE-2021-36092 CVE-2021-36093 CVE-2021-36094 CVE-2021-36095 CVE-2021-36096 CVE-2021-36097 CVE-2021-36100 CVE-2022-0473 CVE-2022-0475 CVE-2022-1004
OWASP/json-sanitizer,owasp,json-sanitizer,CVE-2020-13973 CVE-2021-23899 CVE-2021-23900
OWASP/NodeGoat,owasp,nodegoat,CVE-2021-4247
pac4j/pac4j,pac4j,pac4j,CVE-2019-10755 CVE-2021-44878
pagekit/pagekit,pagekit,pagekit,CVE-2017-5594 CVE-2018-11564 CVE-2018-14381 CVE-2019-16669 CVE-2019-19013 CVE-2021-32245 CVE-2021-44135
paramiko/paramiko,paramiko,paramiko,CVE-2018-1000805 CVE-2018-7750 CVE-2022-24302
Patrowl/PatrowlManager,patrowl,patrowlmanager,CVE-2021-43828 CVE-2021-43829
paypal/nemo-appium,paypal,nemo-appium,CVE-2022-21129
pear/Archive_Tar,pear,peararchivetar,
pear/Crypt_GPG,pear,crypt_gpg,CVE-2022-24953
pedroetb/tts-api,pedroetb,tts-api,CVE-2019-25158
peerigon/angular-expressions,peerigon,angular-expressions,CVE-2020-5219 CVE-2021-21277
pfsense/pfsense,pfsense,pfsense,CVE-2011-4197 CVE-2011-5047 CVE-2016-10709 CVE-2020-19678 CVE-2020-26693 CVE-2021-20729 CVE-2021-27933 CVE-2021-41282 CVE-2022-23993
pgbouncer/pgbouncer,pgbouncer,pgbouncer,CVE-2015-4054 CVE-2015-6817 CVE-2021-3672 CVE-2021-3935
phoenixframework/phoenix,phoenixframework,phoenix,CVE-2017-1000163
phoenixframework/phoenix_html,phoenixframework,phoenix_html,CVE-2021-46871
